CDU/CSU,SPD,AfD,B90,FDP,LINKE,Sonstige,BSW
313,187,167,124,43,43,77,46
349,172,178,133,39,36,56,37
324,190,178,133,49,34,53,39
321,175,179,160,37,47,45,36
300,180,203,138,39,47,59,34
340,172,170,156,38,37,55,32
345,164,188,131,46,30,56,40
330,187,173,135,35,40,64,36
325,170,167,152,41,51,55,39
332,179,181,129,36,34,75,34
360,168,170,143,42,36,48,33
351,205,176,126,33,27,50,32
339,174,165,149,43,44,45,41
324,180,176,150,38,31,64,37
314,163,196,165,33,35,62,32
343,161,160,143,36,46,70,41
301,167,221,152,44,35,48,32
329,170,176,149,45,30,60,41
349,176,172,130,47,35,56,35
321,195,178,146,37,28,54,41
337,177,172,133,42,36,59,44
325,178,196,139,41,40,49,32
319,176,187,141,50,38,49,40
326,177,201,120,32,51,55,38
350,177,159,130,32,41,75,36
363,159,172,149,39,34,42,42
320,168,183,160,35,39,60,35
324,164,176,150,50,39,51,46
325,163,190,156,45,38,49,34
346,179,166,140,37,41,47,44
322,197,169,126,41,44,61,40
336,178,179,152,47,36,41,31
343,192,167,133,32,28,71,34
325,167,199,138,47,40,55,29
363,167,172,126,42,43,49,38
335,181,159,143,56,33,59,34
305,187,191,128,42,38,67,42
341,202,162,139,30,32,51,43
337,173,191,135,45,42,42,35
316,190,169,160,47,34,49,35
332,181,165,162,38,31,57,34
319,196,166,137,38,44,59,41
338,201,187,123,29,34,51,37
296,181,200,144,37,35,70,37
330,186,171,117,41,42,80,33
306,173,183,128,52,42,76,40
332,179,182,133,38,35,62,39
331,177,164,149,37,39,62,41
320,194,174,135,49,28,61,39
311,193,182,136,46,47,55,30
324,202,184,123,43,36,48,40
330,174,179,150,41,41,51,34
333,170,186,132,54,38,56,31
325,182,178,139,43,31,60,42
349,170,167,146,44,31,56,37
323,170,168,168,48,32,54,37
324,175,206,147,40,34,43,31
331,178,172,158,40,41,43,37
347,182,174,140,43,36,41,37
305,192,180,154,36,36,53,44
338,185,190,132,36,34,55,30
324,179,183,130,37,35,68,44
340,179,176,139,42,48,53,23
349,179,179,129,39,33,52,40
293,191,187,146,53,40,59,31
326,182,168,138,52,33,57,44
351,173,180,142,22,37,57,38
341,190,171,132,39,37,50,40
344,180,169,150,26,33,51,47
339,175,155,155,42,35,56,43
328,190,161,130,38,44,68,41
338,179,168,145,39,37,52,42
299,189,181,139,36,54,64,38
351,159,189,144,50,38,43,26
326,177,180,149,41,39,52,36
339,176,177,154,43,33,44,34
326,174,180,145,31,36,65,43
327,181,184,134,42,43,57,32
329,189,167,149,36,34,62,34
332,191,175,133,38,39,56,36
332,181,176,132,51,32,57,39
318,172,202,126,41,36,70,35
304,147,203,160,50,38,63,35
331,189,168,136,44,33,61,38
315,198,173,133,41,42,65,33
318,178,174,148,42,35,68,37
304,190,175,144,43,51,58,35
302,156,188,172,42,41,55,44
329,201,177,135,37,35,58,28
336,188,163,134,45,39,63,32
323,204,161,138,56,32,55,31
322,190,169,143,42,28,66,40
324,176,180,135,43,42,61,39
331,169,182,149,40,27,66,36
333,191,153,119,45,41,64,54
347,159,197,151,34,34,47,31
342,164,171,156,40,39,58,30
338,183,174,134,41,37,56,37
359,170,184,135,38,26,56,32
323,166,203,130,34,36,76,32
331,193,154,140,57,23,63,39
308,187,165,148,46,43,64,39
328,189,175,141,38,30,60,39
328,182,161,161,38,35,59,36
325,167,188,143,52,38,63,24
332,201,176,129,38,39,46,39
319,175,175,151,39,36,62,43
322,178,185,151,33,44,55,32
337,186,171,145,39,38,47,37
343,170,175,143,48,33,57,31
307,176,206,150,37,37,62,25
335,186,169,152,35,30,59,34
327,194,170,140,41,35,64,29
357,177,172,140,33,35,61,25
328,195,158,154,39,32,54,40
319,181,169,158,32,35,69,37
317,180,163,151,54,37,64,34
329,173,185,145,46,32,57,33
337,183,187,136,44,31,56,26
324,193,174,127,48,41,64,29
335,178,172,141,40,38,51,45
322,160,165,151,45,54,63,40
348,174,161,160,35,33,54,35
323,178,172,158,36,27,65,41
341,187,170,143,38,36,45,40
325,186,183,148,39,30,55,34
327,164,200,149,41,32,50,37
349,175,157,145,44,37,48,45
341,177,180,132,43,38,65,24
329,164,189,153,33,32,57,43
333,206,180,121,26,35,60,39
311,169,184,161,39,26,64,46
324,185,177,168,34,37,43,32
322,175,186,147,45,37,57,31
333,183,198,136,41,33,44,32
320,169,201,133,42,39,60,36
326,180,166,137,51,40,60,40
337,158,177,145,33,52,58,40
319,175,204,130,29,42,67,34
336,194,177,126,37,37,55,38
338,166,169,159,48,33,52,35
304,175,207,139,47,35,61,32
334,162,178,139,45,38,65,39
335,178,169,136,46,36,72,28
340,180,162,136,36,37,68,41
332,166,171,155,49,42,59,26
320,179,179,146,56,35,46,39
331,198,181,134,41,37,54,24
320,192,180,144,36,36,54,38
333,179,169,148,44,37,47,43
342,193,173,130,31,42,48,41
331,186,144,157,45,34,64,39
310,195,170,147,46,36,61,35
324,186,162,149,46,33,67,33
329,168,183,131,40,36,66,47
329,184,162,167,32,40,43,43
352,163,186,124,46,41,57,31
328,192,173,145,35,36,43,48
344,178,163,138,38,32,66,41
318,196,151,155,28,57,57,38
352,171,176,128,34,38,61,40
325,166,171,164,49,33,67,25
351,185,159,136,51,34,47,37
338,187,169,127,45,39,50,45
322,191,170,143,40,29,65,40
327,179,183,143,46,43,52,27
313,151,174,160,55,37,60,50
365,171,167,157,28,29,51,32
331,190,167,134,44,28,60,46
353,188,172,136,26,32,53,40
299,200,179,147,38,24,70,43
348,165,167,142,40,36,55,47
332,178,179,138,47,41,53,32
315,169,192,153,39,51,52,29
319,176,174,136,41,34,74,46
317,179,169,145,50,40,60,40
330,177,194,146,34,32,51,36
346,189,152,132,35,44,64,38
329,174,190,156,35,36,43,37
337,164,181,144,41,36,54,43
332,188,163,144,60,33,48,32
332,192,177,145,34,33,56,31
350,187,178,137,40,28,53,27
345,175,184,124,47,35,50,40
350,170,187,140,29,34,62,28
358,173,168,137,35,44,56,29
323,182,160,143,50,41,60,41
331,178,165,140,41,39,62,44
332,169,199,145,26,29,59,41
345,169,185,134,37,31,63,36
294,174,205,150,44,34,61,38
336,169,186,137,51,31,55,35
323,162,195,136,44,39,59,42
339,169,176,136,35,40,64,41
322,182,176,152,45,26,59,38
341,184,172,140,39,37,52,35
365,167,164,128,43,43,50,40
338,173,162,159,42,36,53,37
332,183,169,148,33,39,50,46
341,165,163,142,57,51,44,37
334,184,176,139,35,36,57,39
302,183,186,153,39,37,62,38
348,178,174,124,39,42,63,32
355,149,203,136,40,29,52,36
333,171,164,146,26,41,73,46
364,170,161,144,32,35,58,36
337,174,184,144,40,41,46,34
330,161,176,141,41,50,61,40
335,161,181,138,35,49,59,42
351,170,177,140,38,31,55,38
346,165,198,123,47,23,58,40
305,190,185,145,41,27,57,50
305,182,185,155,33,37,65,38
319,186,177,147,44,43,45,39
318,187,191,135,39,41,50,39
324,195,169,143,39,40,62,28
343,190,169,135,43,27,57,36
336,194,161,144,33,41,58,33
334,184,169,127,44,44,57,41
316,179,183,140,33,53,55,41
344,169,190,121,41,35,64,36
306,187,185,152,45,32,61,32
340,176,168,136,43,38,60,39
325,180,188,151,38,37,51,30
309,184,172,137,33,49,75,41
354,176,164,127,44,39,48,48
358,172,164,138,40,40,56,32
353,171,169,126,42,38,58,43
344,185,165,139,42,39,56,30
345,170,178,140,40,36,54,37
331,175,152,150,40,43,63,46
349,177,176,134,49,31,53,31
324,183,181,156,34,33,58,31
337,176,188,139,36,31,61,32
330,182,179,139,31,43,60,36
334,162,182,140,34,45,57,46
307,184,181,143,32,55,56,42
327,171,167,141,32,43,64,55
311,172,192,148,31,46,59,41
331,164,200,128,46,38,58,35
355,162,180,142,43,41,45,32
333,159,182,164,37,41,50,34
321,180,177,129,50,36,70,37
318,187,154,146,51,35,63,46
319,173,202,144,31,39,58,34
317,169,193,127,48,53,47,46
347,180,168,134,35,43,56,37
338,183,187,137,38,22,56,39
305,200,176,119,39,54,60,47
327,169,183,145,41,46,56,33
349,154,179,145,42,41,60,30
347,181,157,141,37,46,52,39
317,174,196,124,50,37,58,44
313,177,187,158,43,30,58,34
324,180,180,132,52,39,56,37
327,188,172,148,36,40,51,38
343,176,180,129,47,35,49,41
301,177,198,153,45,39,51,36
324,190,176,152,24,54,45,35
329,164,168,145,48,31,80,35
342,179,162,154,37,37,55,34
344,174,171,128,49,40,62,32
330,168,163,148,41,42,64,44
329,205,162,139,35,34,58,38
329,190,170,145,41,28,54,43
341,163,177,140,39,44,56,40
325,190,155,149,46,36,49,50
317,165,177,155,48,49,55,34
334,173,179,143,38,33,63,37
297,177,186,157,33,53,50,47
337,180,161,158,40,33,55,36
306,181,179,152,44,43,63,32
307,166,175,155,43,55,61,38
325,172,194,144,44,44,44,33
331,189,154,141,49,37,58,41
310,179,175,151,40,41,61,43
341,183,151,145,40,40,67,33
325,194,165,138,44,38,53,43
307,185,176,131,45,42,76,38
327,196,187,133,44,39,45,29
324,186,177,140,43,31,55,44
340,188,173,136,32,28,60,43
331,201,159,137,39,40,50,43
333,190,184,122,35,42,60,34
310,181,161,152,47,45,58,46
321,170,179,141,45,36,57,51
333,166,184,163,39,25,50,40
320,168,192,158,39,33,48,42
343,186,173,137,37,30,55,39
335,184,171,140,34,33,58,45
326,169,187,130,50,52,45,41
341,150,196,149,40,32,47,45
332,171,169,132,49,45,57,45
309,176,191,125,48,40,70,41
341,170,177,139,42,36,59,36
313,175,189,134,51,39,57,42
289,177,194,151,43,34,64,48
356,175,173,130,36,40,52,38
325,188,157,140,33,36,65,56
331,184,173,153,38,35,56,30
311,166,180,157,45,43,61,37
321,192,170,151,44,44,40,38
323,194,176,132,42,41,58,34
318,189,155,153,50,37,62,36
329,182,177,142,43,32,62,33
345,158,188,140,46,35,49,39
326,179,151,143,42,37,71,51
339,188,160,146,31,48,58,30
324,161,189,148,43,40,64,31
311,166,162,158,39,46,76,42
337,176,179,136,47,27,54,44
309,176,163,150,51,57,55,39
323,173,195,138,46,31,55,39
342,186,184,140,29,26,60,33
329,183,187,128,38,39,52,44
349,169,169,129,46,35,62,41
337,181,171,149,45,26,52,39
327,182,190,134,30,43,59,35
327,170,179,155,43,44,47,35
339,173,183,130,41,34,70,30
317,182,174,155,42,46,44,40
311,171,193,158,35,31,58,43
324,184,165,150,42,36,70,29
329,182,180,131,45,37,63,33
306,181,197,143,35,49,53,36
331,179,190,135,36,37,55,37
320,188,176,147,37,45,58,29
349,192,172,129,36,38,45,39
330,165,185,148,33,36,57,46
311,191,173,157,39,30,51,48
307,204,178,148,36,32,55,40
336,171,174,144,43,26,71,35
346,189,170,136,41,36,54,28
324,205,157,138,46,42,51,37
331,173,175,131,45,50,60,35
341,181,165,134,37,39,63,40
322,188,175,138,42,34,58,43
317,177,172,148,44,41,62,39
303,193,179,137,45,41,63,39
334,171,171,134,53,40,59,38
326,190,174,127,49,47,47,40
347,188,165,138,32,35,55,40
361,163,171,122,48,43,51,41
323,178,189,127,42,51,50,40
331,181,174,130,48,29,71,36
353,176,155,137,51,34,49,45
339,169,181,133,46,43,47,42
324,190,172,147,38,31,62,36
335,190,179,138,35,37,42,44
284,173,235,133,39,36,63,37
331,180,183,151,36,31,48,40
352,161,176,149,49,32,53,28
328,177,175,160,34,33,50,43
325,187,165,145,39,41,60,38
317,187,180,134,47,43,55,37
352,188,146,152,44,42,46,30
332,175,187,131,41,49,56,29
314,184,194,139,46,41,47,35
336,150,194,156,41,30,56,37
315,166,196,142,45,46,55,35
336,174,174,144,39,32,57,44
351,178,175,125,37,37,59,38
313,173,196,136,46,32,61,43
305,174,186,145,50,38,59,43
348,202,162,125,32,32,56,43
340,173,183,139,42,40,51,32
324,181,149,156,40,55,60,35
332,171,173,151,44,41,44,44
338,173,177,157,36,37,49,33
347,167,185,142,43,31,50,35
336,169,174,143,39,35,59,45
330,179,181,119,53,40,61,37
336,154,191,162,35,33,50,39
335,190,173,145,51,24,47,35
329,181,167,142,47,34,59,41
339,170,182,143,41,38,49,38
311,171,172,148,42,40,68,48
314,181,184,136,55,34,51,45
334,180,190,146,37,37,48,28
325,176,170,151,42,34,65,37
351,181,184,130,26,34,59,35
330,173,162,144,46,43,67,35
360,166,191,127,30,36,48,42
349,174,193,136,47,33,42,26
332,170,180,146,41,37,52,42
310,185,202,130,38,33,62,40
309,182,173,151,40,45,66,34
326,171,180,136,43,41,56,47
321,182,170,140,39,45,60,43
304,188,169,141,43,44,65,46
341,167,172,147,52,47,39,35
335,179,178,140,42,29,55,42
314,215,157,146,45,39,52,32
321,185,188,134,31,36,55,50
340,172,183,137,43,43,51,31
347,166,194,132,30,39,48,44
321,165,193,140,46,29,65,41
342,181,164,142,40,42,52,37
339,186,154,160,35,42,52,32
327,160,189,139,48,43,66,28
323,209,171,144,40,25,48,40
336,181,168,145,45,33,64,28
341,173,173,142,40,36,55,40
331,182,178,140,38,38,58,35
319,176,172,150,50,38,58,37
318,193,174,127,42,35,62,49
340,158,180,137,49,45,58,33
320,194,161,147,46,39,56,37
324,170,192,141,45,35,55,38
339,188,173,139,42,32,48,39
334,182,186,136,33,42,57,30
322,192,178,130,34,38,65,41
296,190,180,150,49,40,55,40
337,161,186,137,33,58,59,29
338,177,167,156,42,33,54,33
332,182,174,133,46,43,46,44
301,174,200,158,44,39,57,27
308,192,190,145,29,37,53,46
356,165,168,132,52,28,54,45
324,171,177,155,39,42,55,37
347,182,180,123,41,37,60,30
320,198,168,137,45,34,61,37
301,180,184,138,31,50,70,46
324,188,188,135,30,43,58,34
338,163,176,149,32,54,62,26
347,183,174,139,28,33,63,33
331,199,178,127,44,38,45,38
334,171,194,137,44,30,57,33
315,196,191,145,42,31,47,33
322,194,166,129,40,41,67,41
329,179,171,143,34,40,64,40
301,174,167,157,39,47,64,51
318,181,192,136,39,38,63,33
330,174,186,149,42,38,49,32
330,179,159,142,45,46,59,40
360,174,162,145,37,35,57,30
341,194,190,126,28,42,47,32
341,169,197,135,36,35,43,44
356,173,183,117,47,39,44,41
314,172,188,140,50,38,57,41
345,184,155,139,39,33,59,46
335,177,190,127,38,31,56,46
316,184,183,138,37,31,64,47
340,167,172,153,51,31,52,34
355,156,168,135,34,44,69,39
340,185,172,138,43,34,55,33
338,145,180,161,40,38,55,43
320,183,153,154,47,39,66,38
314,162,206,146,36,34,59,43
322,173,184,136,37,37,69,42
322,173,180,146,41,49,49,40
320,166,175,151,42,38,63,45
325,183,166,159,41,36,57,33
313,175,185,155,57,29,49,37
344,183,169,147,48,26,50,33
324,175,187,142,50,32,58,32
341,187,160,154,39,31,46,42
335,173,185,139,46,40,40,42
347,148,183,146,42,38,55,41
312,202,183,146,31,33,56,37
320,173,188,141,44,36,53,45
353,164,173,149,33,47,48,33
329,181,171,135,44,36,62,42
311,195,163,147,55,33,55,41
351,190,174,120,34,34,66,31
343,169,178,141,37,42,54,36
331,189,177,145,36,38,52,32
338,171,166,161,40,32,55,37
318,184,181,146,38,39,64,30
351,178,179,130,36,30,57,39
327,180,179,154,37,22,65,36
318,179,191,143,37,39,58,35
316,185,181,150,40,30,51,47
309,188,198,154,39,30,49,33
342,180,166,140,51,33,58,30
318,205,173,124,49,38,64,29
293,190,193,142,54,33,57,38
333,182,196,138,38,27,56,30
347,168,164,156,31,44,55,35
332,192,187,118,44,32,65,30
357,192,148,139,36,33,53,42
367,154,171,146,36,30,55,41
320,180,172,152,57,37,44,38
328,169,180,129,46,35,63,50
328,168,176,152,38,38,57,43
303,178,194,169,37,31,62,26
319,175,182,153,32,46,62,31
319,180,153,163,30,39,81,35
333,167,183,137,49,32,59,40
345,162,189,135,45,30,54,40
349,185,179,137,38,30,53,29
320,175,184,138,41,42,62,38
330,171,172,155,40,36,62,34
329,178,166,154,32,32,72,37
332,175,156,148,40,37,69,43
313,173,199,141,40,31,64,39
324,186,177,138,44,33,53,45
319,180,169,145,38,47,63,39
356,162,177,142,38,46,44,35
340,179,175,147,38,39,49,33
335,167,195,137,30,33,60,43
319,185,175,142,47,29,70,33
331,206,156,130,42,41,65,29
335,202,157,136,33,34,68,35
336,186,176,131,45,41,60,25
353,168,176,119,46,45,46,47
339,175,174,136,39,44,59,34
300,178,187,154,48,38,59,36
348,152,185,120,53,40,62,40
322,157,177,149,47,50,56,42
360,184,146,143,35,34,59,39
345,178,157,150,41,33,50,46
354,158,192,142,35,38,54,27
355,178,161,127,36,50,57,36
321,188,186,129,45,35,53,43
366,154,166,136,44,32,59,43
327,177,181,158,33,37,59,28
340,163,165,149,58,41,52,32
316,176,178,138,39,42,61,50
332,188,175,130,34,42,56,43
343,198,169,136,41,37,43,33
344,181,175,123,42,31,72,32
315,206,176,126,42,33,63,39
331,173,175,138,49,41,56,37
319,185,177,139,45,43,45,47
351,170,174,130,35,43,60,37
329,189,160,136,39,47,53,47
334,183,190,130,35,37,54,37
332,174,160,158,38,36,62,40
331,178,186,131,48,27,55,44
337,164,182,149,47,33,55,33
330,180,179,140,46,27,60,38
332,182,168,156,43,32,55,32
317,187,165,133,34,36,73,55
320,169,198,143,41,34,55,40
343,157,188,148,36,39,54,35
333,193,180,131,30,34,55,44
316,181,190,141,36,49,53,34
323,183,198,137,39,38,43,39
330,171,172,144,41,39,69,34
312,181,178,163,43,38,52,33
321,184,181,148,35,40,57,34
354,182,164,128,41,33,59,39
335,192,161,146,43,38,50,35
328,187,176,148,41,43,45,32
333,169,185,143,49,30,54,37
302,179,179,143,50,36,68,43
345,163,178,131,50,32,62,39
350,171,156,145,41,35,53,49
345,182,177,142,35,41,48,30
325,167,170,141,43,47,64,43
345,164,188,132,47,36,54,34
345,138,187,147,39,43,58,43
336,175,189,121,37,39,62,41
325,170,173,141,43,42,64,42
311,178,169,149,45,39,62,47
328,165,173,147,53,39,54,41
344,173,153,150,48,35,54,43
347,195,175,122,36,44,62,19
345,177,194,129,41,32,47,35
367,145,181,156,17,36,55,43
327,174,194,141,29,29,72,34
361,163,156,145,33,50,59,33
306,187,173,140,48,43,65,38
335,166,183,138,44,46,53,35
323,187,166,151,41,36,58,38
340,178,170,121,44,38,57,52
312,189,155,153,46,43,57,45
359,169,170,138,34,46,58,26
331,181,199,129,42,35,53,30
316,170,180,149,44,43,57,41
340,191,166,137,37,43,50,36
293,179,190,156,32,41,62,47
349,164,156,159,51,28,54,39
323,179,178,147,40,26,62,45
340,196,170,133,44,39,45,33
339,181,181,141,42,44,40,32
350,173,179,132,37,35,51,43
310,177,191,150,46,31,66,29
327,172,166,140,50,45,69,31
319,195,170,137,46,36,53,44
347,192,175,136,35,24,49,42
380,143,182,125,36,36,62,36
324,183,182,131,45,46,45,44
315,168,190,138,42,50,48,49
360,151,197,129,30,44,50,39
331,173,185,134,42,44,57,34
314,185,182,133,37,50,67,32
326,176,183,144,41,37,55,38
304,207,179,148,39,44,49,30
379,174,156,127,46,39,55,24
315,185,196,126,46,33,62,37
357,167,165,134,37,32,60,48
328,170,178,141,38,49,52,44
352,145,187,148,27,41,58,42
307,200,170,148,47,46,49,33
338,175,172,150,48,42,38,37
324,177,178,145,47,45,49,35
337,195,169,156,31,32,50,30
359,165,155,143,40,46,52,40
341,175,182,135,33,35,62,37
350,174,173,130,44,32,52,45
324,164,189,162,36,31,56,38
319,172,189,133,39,36,70,42
317,177,174,139,48,31,71,43
330,162,173,149,46,41,62,37
320,174,199,138,40,37,55,37
324,201,175,138,35,41,47,39
317,187,170,152,32,41,55,46
321,183,183,146,40,36,51,40
328,200,164,148,27,37,52,44
338,180,165,139,35,36,59,48
339,186,149,152,43,36,62,33
339,177,187,119,47,37,57,37
338,179,194,125,36,43,50,35
330,184,172,136,47,31,57,43
347,167,162,149,51,37,50,37
339,157,193,132,39,38,63,39
322,198,175,132,46,30,56,41
333,193,181,127,39,33,54,40
306,194,163,153,54,41,48,41
315,199,180,137,45,31,59,34
330,203,176,127,36,36,55,37
312,188,186,136,40,48,51,39
326,188,173,129,45,43,51,45
359,162,177,116,51,43,49,43
323,190,172,134,47,29,75,30
326,179,190,150,38,31,49,37
334,173,173,145,45,39,50,41
316,192,171,149,49,40,50,33
300,162,196,161,40,41,59,41
324,188,174,143,34,46,54,37
337,186,189,139,37,28,50,34
315,172,177,157,39,48,54,38
323,170,181,132,44,41,64,45
329,174,182,153,37,34,58,33
342,172,186,130,35,36,54,45
311,186,192,146,35,37,57,36
335,173,167,139,49,36,65,36
349,175,163,127,33,46,61,46
329,183,177,145,40,30,59,37
364,169,176,141,42,28,48,32
305,180,191,135,38,51,63,37
337,188,168,138,44,36,54,35
318,184,168,139,44,41,62,44
336,174,192,129,50,34,53,32
331,196,156,148,42,34,56,37
339,193,170,133,39,33,59,34
333,194,186,133,44,35,50,25
348,146,194,129,47,43,64,29
337,167,175,147,36,38,70,30
353,192,155,133,38,36,56,37
316,179,193,152,28,35,68,29
352,166,196,124,31,41,48,42
333,165,195,134,36,42,53,42
329,157,180,138,54,37,63,42
313,192,191,130,42,44,56,32
310,182,203,137,42,37,52,37
371,166,156,144,41,37,46,39
325,185,174,128,44,42,66,36
349,164,167,145,42,31,56,46
334,183,170,137,56,38,56,26
322,171,172,143,50,42,62,38
325,194,156,153,30,43,55,44
351,176,158,142,53,30,53,37
348,167,176,138,31,43,64,33
319,176,168,155,41,44,59,38
336,169,191,132,33,42,58,39
339,156,181,129,46,52,52,45
355,155,183,143,45,38,56,25
354,176,173,143,39,35,48,32
352,177,167,131,39,30,63,41
326,199,173,144,39,31,49,39
335,184,157,148,41,35,61,39
327,175,184,154,37,36,45,42
336,165,195,126,40,40,55,43
328,177,177,147,36,34,58,43
307,181,174,159,43,40,57,39
318,181,178,142,40,47,52,42
328,192,152,135,51,44,70,28
324,186,171,141,44,33,63,38
314,176,184,144,53,43,55,31
338,180,168,141,35,31,69,38
337,172,166,150,39,41,50,45
325,186,171,131,37,39,62,49
312,193,185,140,32,31,63,44
334,171,180,141,44,35,56,39
320,209,146,144,49,39,55,38
353,154,185,150,35,32,47,44
333,178,168,144,32,39,68,38
332,191,171,142,45,37,38,44
324,173,174,143,43,36,61,46
292,192,189,141,40,37,69,40
332,189,173,148,37,35,52,34
339,169,180,146,44,27,57,38
333,180,173,142,44,33,58,37
335,165,185,137,44,37,63,34
352,177,169,131,48,34,58,31
325,179,189,147,33,38,59,30
352,198,169,128,36,29,63,25
301,187,176,152,40,47,56,41
345,166,181,143,48,29,50,38
343,169,166,163,30,29,59,41
310,184,155,167,39,39,66,40
312,193,165,154,46,35,54,41
334,182,178,146,46,35,50,29
310,194,175,143,37,47,55,39
297,195,180,161,46,26,53,42
335,181,174,142,41,32,57,38
351,175,166,148,33,32,53,42
339,159,201,138,33,40,59,31
358,164,184,125,40,44,51,34
316,193,166,124,45,38,72,46
353,160,166,138,44,31,72,36
318,189,184,148,29,37,55,40
336,186,182,126,42,38,59,31
292,188,194,140,49,32,67,38
318,178,179,135,43,42,58,47
312,163,199,147,43,42,59,35
333,173,191,136,32,27,65,43
330,191,161,132,43,37,61,45
334,187,177,129,43,32,57,41
315,170,192,149,42,36,65,31
315,171,177,148,51,31,64,43
343,178,194,117,44,42,57,25
329,166,183,147,42,38,52,43
320,165,198,152,36,35,52,42
347,170,190,133,36,40,52,32
345,185,193,129,32,33,48,35
336,188,172,137,42,37,55,33
333,182,183,139,34,49,43,37
319,191,168,143,38,34,57,50
336,168,180,138,41,44,58,35
350,169,179,127,54,34,49,38
322,205,159,135,36,41,64,38
353,177,187,121,28,39,52,43
320,190,160,161,35,33,55,46
319,195,184,131,45,38,56,32
304,188,183,139,39,47,55,45
343,173,150,156,42,38,60,38
321,175,201,121,43,39,56,44
333,170,194,143,38,30,53,39
305,202,189,137,33,37,62,35
358,172,186,139,30,31,56,28
336,149,188,156,40,43,51,37
340,159,194,145,40,33,50,39
321,189,176,142,43,40,51,38
307,181,182,157,41,36,59,37
324,188,174,143,49,34,51,37
323,181,185,150,33,31,47,50
358,168,172,130,33,34,65,40
326,183,186,133,46,40,50,36
317,190,198,129,45,32,52,37
318,186,191,146,39,54,40,26
320,194,180,135,36,38,60,37
316,181,190,152,38,34,46,43
324,190,156,156,51,36,55,32
334,189,201,114,34,38,58,32
347,166,194,139,34,30,56,34
350,172,174,129,50,39,52,34
331,164,191,128,39,45,60,42
338,190,167,123,37,34,60,51
325,196,173,144,34,37,49,42
304,187,178,149,44,45,53,40
346,186,177,114,34,44,55,44
345,180,157,139,44,38,54,43
329,187,183,133,33,36,62,37
344,163,168,147,40,35,63,40
306,193,178,149,47,34,54,39
305,166,199,155,43,29,71,32
325,194,174,147,39,33,49,39
342,180,171,138,31,44,62,32
323,180,171,160,48,34,44,40
340,191,165,154,38,36,38,38
325,183,190,134,45,29,61,33
323,193,168,148,36,43,59,30
340,173,194,132,45,31,49,36
305,169,207,137,45,41,61,35
356,168,183,113,42,36,71,31
310,168,183,149,45,37,69,39
367,181,160,137,43,31,47,34
332,184,167,131,42,47,57,40
331,170,165,153,45,49,61,26
317,169,177,153,42,40,62,40
324,170,190,139,42,30,63,42
324,176,212,137,27,42,52,30
340,198,181,126,35,29,53,38
360,173,186,112,34,39,63,33
317,184,171,139,42,49,63,35
366,200,143,138,44,32,52,25
356,178,171,137,41,32,45,40
328,188,189,140,27,38,56,34
350,167,163,121,43,37,73,46
348,158,171,149,45,32,56,41
317,183,185,139,35,40,57,44
332,174,174,138,41,35,64,42
344,170,157,164,39,31,65,30
326,181,189,138,51,29,49,37
338,171,176,139,43,34,57,42
341,177,176,144,38,35,56,33
327,179,165,153,32,41,58,45
332,184,167,138,38,47,54,40
319,178,182,155,44,34,52,36
318,163,195,146,46,37,54,41
333,177,174,153,41,41,46,35
336,172,170,136,46,40,55,45
349,176,172,133,51,31,49,39
343,178,172,142,45,33,55,32
347,175,190,124,36,42,54,32
351,161,177,135,37,38,58,43
328,202,165,149,35,36,55,30
337,175,165,149,45,27,63,39
353,180,182,138,37,28,50,32
329,177,172,138,42,39,61,42
335,197,179,137,42,33,38,39
326,167,202,127,50,26,64,38
336,178,188,130,45,44,54,25
340,162,181,136,42,41,57,41
311,185,186,153,42,36,44,43
339,177,171,131,42,36,60,44
330,172,172,145,35,36,64,46
324,189,190,125,48,29,59,36
318,175,181,165,42,40,50,29
330,165,188,144,47,34,57,35
320,166,196,150,34,41,51,42
313,185,199,128,31,41,62,41
336,184,184,128,37,37,56,38
365,180,155,128,38,37,62,35
346,178,183,142,32,41,43,35
342,203,155,136,48,33,38,45
364,161,183,133,49,28,50,32
338,180,176,144,37,37,45,43
344,178,195,139,30,38,42,34
327,192,183,136,43,33,54,32
311,206,177,144,37,38,56,31
320,188,175,152,33,34,60,38
327,196,162,145,35,35,62,38
322,185,181,148,34,37,53,40
342,171,165,153,47,32,50,40
342,163,170,151,39,27,60,48
322,177,179,135,45,42,66,34
327,186,152,144,58,45,46,42
329,185,175,141,41,32,64,33
335,169,207,128,45,36,48,32
323,190,174,130,44,44,63,32
324,178,210,120,41,34,59,34
329,173,186,137,50,38,52,35
327,176,187,140,41,31,68,30
322,162,188,149,43,47,54,35
307,175,173,164,44,42,61,34
322,190,183,138,44,48,42,33
327,172,190,133,41,38,60,39
307,188,186,133,55,30,64,37
315,207,153,141,42,36,64,42
346,193,186,129,36,29,52,29
344,197,143,142,29,46,55,44
326,186,176,144,36,39,59,34
340,174,166,145,40,38,54,43
311,180,203,146,29,35,61,35
326,179,168,142,55,42,53,35
322,178,161,145,46,50,61,37
360,180,170,127,43,36,54,30
332,160,179,169,37,30,60,33
324,153,168,168,34,49,63,41
313,175,187,145,38,37,68,37
326,200,187,126,44,29,55,33
294,199,194,144,42,35,61,31
331,163,189,149,35,34,57,42
320,197,184,140,30,39,64,26
324,182,190,154,38,34,50,28
344,175,173,133,45,41,49,40
323,179,184,164,31,31,59,29
